link,t,x,delta_t,delta_x,q,k,v
link2,960,400.0,120,100.0,0.47916666666666663,0.10416666666666666,4.6
link2,960,500.0,120,100.0,0.46875,0.10625,4.411764705882353
link2,960,600.0,120,100.0,0.39583333333333337,0.11666666666666665,3.3928571428571437
link2,960,700.0,120,100.0,0.40625,0.1203125,3.3766233766233764
link2,960,800.0,120,100.0,0.5104166666666666,0.10208333333333335,4.999999999999999
link2,960,900.0,120,100.0,0.46875,0.10416666666666666,4.5
link2,1080,0.0,120,100.0,0.39583333333333337,0.09895833333333334,4.0
link2,1080,100.0,120,100.0,0.38541666666666663,0.11510416666666666,3.34841628959276
link2,1080,200.0,120,100.0,0.47916666666666663,0.09895833333333334,4.842105263157894
link2,1080,300.0,120,100.0,0.44791666666666663,0.10260416666666666,4.365482233502538
link2,1080,400.0,120,100.0,0.44791666666666663,0.1,4.479166666666666
link2,1080,500.0,120,100.0,0.36458333333333337,0.115625,3.1531531531531534
link2,1080,600.0,120,100.0,0.34375,0.1234375,2.7848101265822782
link2,1080,700.0,120,100.0,0.4375,0.10729166666666666,4.077669902912621
link2,1080,800.0,120,100.0,0.40625,0.1078125,3.7681159420289854
link2,1080,900.0,120,100.0,0.4375,0.12604166666666666,3.4710743801652892
link3,0,0.0,120,100.0,0.25,0.0125,20.0
link3,0,100.0,120,100.0,0.25,0.0125,20.0
link3,0,200.0,120,100.0,0.25,0.0125,20.0
link3,0,300.0,120,100.0,0.25,0.0125,20.0
link3,0,400.0,120,100.0,0.25,0.0125,20.0
link3,0,500.0,120,100.0,0.25,0.0125,20.0
link3,0,600.0,120,100.0,0.23958333333333331,0.011979166666666667,19.999999999999996
link3,0,700.0,120,100.0,0.20833333333333331,0.010416666666666668,19.999999999999996
link3,0,800.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link3,0,900.0,120,100.0,0.13541666666666666,0.0067708333333333336,19.999999999999996
link3,120,0.0,120,100.0,0.5625,0.028125,20.0
link3,120,100.0,120,100.0,0.53125,0.0265625,20.0
link3,120,200.0,120,100.0,0.5,0.025,20.0
link3,120,300.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,120,400.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,120,500.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,120,600.0,120,100.0,0.46875,0.0234375,20.0
link3,120,700.0,120,100.0,0.5,0.025,20.0
link3,120,800.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link3,120,900.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link3,240,0.0,120,100.0,0.59375,0.0296875,20.0
link3,240,100.0,120,100.0,0.59375,0.0296875,20.0
link3,240,200.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link3,240,300.0,120,100.0,0.59375,0.0296875,20.0
link3,240,400.0,120,100.0,0.5625,0.028125,20.0
link3,240,500.0,120,100.0,0.53125,0.0265625,20.0
link3,240,600.0,120,100.0,0.5,0.025,20.0
link3,240,700.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,240,800.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,240,900.0,120,100.0,0.45833333333333337,0.022916666666666665,20.000000000000004
link3,360,0.0,120,100.0,0.59375,0.0296875,20.0
link3,360,100.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link3,360,200.0,120,100.0,0.59375,0.0296875,20.0
link3,360,300.0,120,100.0,0.59375,0.0296875,20.0
link3,360,400.0,120,100.0,0.59375,0.0296875,20.0
link3,360,500.0,120,100.0,0.59375,0.0296875,20.0
link3,360,600.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link3,360,700.0,120,100.0,0.59375,0.0296875,20.0
link3,360,800.0,120,100.0,0.5625,0.028125,20.0
link3,360,900.0,120,100.0,0.53125,0.0265625,20.0
link3,480,0.0,120,100.0,0.5833333333333334,0.035416666666666666,16.47058823529412
link3,480,100.0,120,100.0,0.59375,0.0296875,20.0
link3,480,200.0,120,100.0,0.59375,0.0296875,20.0
link3,480,300.0,120,100.0,0.59375,0.0296875,20.0
link3,480,400.0,120,100.0,0.59375,0.0296875,20.0
link3,480,500.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link3,480,600.0,120,100.0,0.59375,0.0296875,20.0
link3,480,700.0,120,100.0,0.59375,0.0296875,20.0
link3,480,800.0,120,100.0,0.59375,0.0296875,20.0
link3,480,900.0,120,100.0,0.59375,0.0296875,20.0
link3,600,0.0,120,100.0,0.5,0.03125,16.0
link3,600,100.0,120,100.0,0.53125,0.0265625,20.0
link3,600,200.0,120,100.0,0.5625,0.028125,20.0
link3,600,300.0,120,100.0,0.59375,0.0296875,20.0
link3,600,400.0,120,100.0,0.625,0.03125,20.0
link3,600,500.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,600,600.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,600,700.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,600,800.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,600,900.0,120,100.0,0.625,0.03125,20.0
link3,720,0.0,120,100.0,0.6041666666666666,0.036458333333333336,16.57142857142857
link3,720,100.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link3,720,200.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link3,720,300.0,120,100.0,0.5,0.025,20.0
link3,720,400.0,120,100.0,0.5,0.025,20.0
link3,720,500.0,120,100.0,0.53125,0.0265625,20.0
link3,720,600.0,120,100.0,0.5625,0.028125,20.0
link3,720,700.0,120,100.0,0.59375,0.0296875,20.0
link3,720,800.0,120,100.0,0.625,0.03125,20.0
link3,720,900.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,840,0.0,120,100.0,0.6354166666666666,0.03854166666666667,16.486486486486484
link3,840,100.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,840,200.0,120,100.0,0.625,0.03125,20.0
link3,840,300.0,120,100.0,0.6354166666666666,0.03177083333333333,20.0
link3,840,400.0,120,100.0,0.6041666666666666,0.030208333333333334,20.0
link3,840,500.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link3,840,600.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link3,840,700.0,120,100.0,0.5,0.025,20.0
